,Policy ID,Lapse
0,PID_4928TWH,0.15006203329711698
1,PID_KBLLEGK,5.373455131649651e-06
2,PID_90F0QA3,2.3496240601503757e-05
3,PID_18F3NHF,0.06877176050539699
4,PID_SX4QUVO,0.28096847515841283
5,PID_TU5BFPR,0.31026010312613245
6,PID_WLKPNBI,0.0
7,PID_WJJ0O09,0.002260176329180354
8,PID_8GYR0BI,0.28554682148386357
9,PID_S2LWT7E,5.373455131649651e-06
10,PID_SJMOS1D,8.51021799237738e-06
11,PID_7WCQC27,2.3496240601503757e-05
12,PID_SPCQJ1K,0.1687531006049251
13,PID_P8VLKT7,0.23002501060057529
14,PID_71C0MWB,0.0
15,PID_RYR0SVX,0.2799139103894094
16,PID_QC1RYSQ,0.19550024548774167
17,PID_A06YOH1,0.15774068520680806
18,PID_7CENWWS,0.0
19,PID_RA28BWC,0.04743906056317194
20,PID_8G3Z646,0.2782933683182696
21,PID_0AOTABJ,0.1952724186774135
22,PID_PURXM81,0.0
23,PID_2OZ33GW,0.22457770193859963
24,PID_YPYFRUG,3.295978905735003e-06
25,PID_ZMTQ112,0.004639208873750137
26,PID_IGO1OBG,0.008671982763786522
27,PID_D5WUS3Y,0.1589005621012465
28,PID_K1H0CE1,5.373455131649651e-06
29,PID_IE9WGLN,2.380952380952381e-05
30,PID_TUF2RYA,0.0
31,PID_RS6IVNO,0.0
32,PID_Y1XLAQA,0.0
33,PID_XYZF5R0,0.18238133835394954
34,PID_8UDWR8I,0.18275702057788568
35,PID_B7KWJVR,0.0
36,PID_QX210WC,0.08800766911505739
37,PID_EY0IR7Q,0.13504856360627732
38,PID_CSLCV4S,0.2091978396111056
39,PID_9260TJI,0.18966209611995438
40,PID_JDUP62T,2.380952380952381e-05
41,PID_ETGO7UZ,2.3496240601503757e-05
42,PID_LB7J0ZV,0.046987858238796996
43,PID_VK5HY24,0.0
44,PID_AVXTMLL,0.1561451992357311
45,PID_E2937R5,0.1847863586662237
46,PID_X44RL44,8.669434037384655e-06
47,PID_SVY3SHN,0.2674270169826734
48,PID_DGNC3NK,0.3786062510211244
49,PID_Z2GXBKG,0.15486396048797657
50,PID_ZXBXQ3J,0.31260327208990285
51,PID_R8VTUP8,0.24035107596603755
52,PID_AKW9DXT,2.3496240601503757e-05
53,PID_X80214X,0.2812697939281876
54,PID_1V02PHZ,2.380952380952381e-05
55,PID_41TIL7I,0.19357412512479188
56,PID_3W6KRNN,0.19901052764365848
57,PID_AS4LOC9,2.3496240601503757e-05
58,PID_DZ6ORUI,0.3816306730530122
59,PID_6X98B9L,0.0004844681734898736
60,PID_UW2GB04,0.0
61,PID_6PNA9K9,0.0
62,PID_723WPIR,0.24311319859328773
63,PID_E05BF6O,0.26351907179618345
64,PID_LJYXUFF,0.28691708332028926
65,PID_TU37QCG,2.9191001421549316e-05
66,PID_VA244YE,2.380952380952381e-05
67,PID_G55RZRA,0.22084890735573878
68,PID_DTEGGWH,0.350942925071998
69,PID_CBKRFEU,0.12270755020873558
70,PID_YZRYG67,2.9715146074140572e-05
71,PID_7RNPY9F,0.22680772988200226
72,PID_590186H,2.3496240601503757e-05
73,PID_GFXRHW2,0.0029198618062548387
74,PID_D88JBQA,0.46093167267509316
75,PID_X3XH0ZA,0.20164391173867288
76,PID_VDCW79S,0.16983107725572885
77,PID_R13GW14,0.19135358210545725
78,PID_GG7CO9T,0.28096847515841283
79,PID_VEGETGP,0.28108090000659575
80,PID_FF6DBHD,0.2655904689687966
81,PID_K5TT3O5,0.175126342573953
82,PID_7BN8ALJ,0.0
